NAMING STYLE,7290,84.5
GRAMMATICAL STRUCTURE,7005,81.2
VERB PHRASE,4538,52.6
DICTIONARY TERMS,6955,80.7
FULL WORDS,7537,87.4
LENGTH,8603,99.8
ABBREVIATIONS,174,30.2
ACRONYMS,12,2.1
