NAMING STYLE,330,81.9
GRAMMATICAL STRUCTURE,341,84.6
VERB PHRASE,132,32.8
DICTIONARY TERMS,349,86.6
FULL WORDS,276,68.5
LENGTH,399,99.0
ABBREVIATIONS,24,68.6
ACRONYMS,3,8.6
