kit,390,80.2,8.3,100
koa,25,96.2,11,100
kodluyoruz-frontend-101-egitimi,1758,88.6,3.7,3
konsta,108,64.3,8.2,13
koodo-reader,3839,76.5,5.8,10
lax.js,80,89.9,8.9,14
layui,1188,91.2,7.2,44
lazysizes,406,83.4,12.1,45
leetcode-patterns,3,23.1,6.1,25
leetcode,26,96.3,6.7,76
lenis,248,87.9,6.8,18
leonsans,84,57.9,8.5,2
lexical,446,84.5,7.8,100
lifeRestart,13501,86.8,6.7,31
lighthouse-ci,93,100.0,9.7,100
lighthouse,4955,87.3,10.2,100
lingo3d,6999,60.2,4.0,5
live,1401,91.9,5.5,2
localForage,669,66.4,11.3,95
lossless-cut,125,87.4,6.9,94
lottie-web,14172,82.9,9.2,84
luban-h5,36,81.8,6.8,11
Luckysheet,1477,71.4,6.3,74
macintosh.js,275,8.2,9.4,14
MagicMirror,141,78.8,9.0,100
magnetW,76,98.7,7.0,3
markdown-it,545,85.4,10.9,73
marko,1219,95.8,9.9,100
marktext,1105,91.4,8.5,100
materialize,1077,84.9,10.3,100
material,1993,87.9,10.8,100
matter-js,1697,90.7,11.1,24
mdx-deck,51,86.4,10.2,61
mdx,44,68.8,9.9,100
mermaid,503,94.4,8.5,100
metrics,1,100.0,6.5,55
microdiff,1,100.0,5.6,7
minter-dapp,3388,87.7,5.0,2
mithril.js,410,81.0,11.1,100
monaco-editor,67,91.8,9.3,100
mostly-adequate-guide,116,95.1,10.4,100
motionity,853,78.9,9.3,3
Motrix,76,95.0,6.7,67
mpvue,5471,88.1,10.4,100
nanoid,18,100.0,9.6,100
ncc,100,71.9,9.8,56
ndb,38,97.4,10.7,11
NeteaseCloudMusicApi,408,87.2,6.9,84
next.js,675,45.4,9.6,100
nginx-proxy-manager,82,90.1,8.6,100
nginxconfig.io,15,93.8,7.8,48
nightmare,330,81.9,11.4,100
node-elm,1241,79.9,6.5,4
node-express-boilerplate,38,100.0,6.9,17
node-express-course,4612,71.7,5.0,1
node-lessons,247,82.6,9.7,19
node,39951,73.4,10.9,100
normalizr,13,100.0,10.9,55
notion-zh_CN,18,81.8,8.0,2
NotionNext,125,40.7,5.6,40
nprogress,27,100.0,12,33
nylas-mail,1449,62.9,10.9,89
octotree,314,82.8,10.8,65
odoo,14887,84.1,8.1,100
omni,587,83.4,7.2,12
openai-quickstart-node,2,66.7,6.6,8
OpenAPI-Specification,3,100.0,11.4,100
OpenLens,1,100.0,10.3,11
openzeppelin-contracts,105,84.0,8.8,100
PairDrop,80,33.3,7.2,65
PapaParse,427,84.1,11.0,100
parcel,773,81.6,9.8,100
parse-server,522,97.0,10.3,100
particles.js,88,94.6,11.5,13
pell,41,85.4,9.6,5
pipedream,48004,97.2,7.8,100
pkg,295,84.5,9.5,67
plyr,84,100.0,9.7,100
popmotion,80,50.3,10.5,57
portfolio_website,0,0.0,5.0,2
pose-animator,39,88.6,0,0
postcat,189,89.6,6.0,10
preact,386,45.3,10.5,100
preguntas-entrevista-react,6,85.7,5.2,38
preline,377,87.1,6.7,9
prettier-plugin-tailwindcss,1,100.0,9.5,22
prettier,636,80.8,10.8,100
project_3D_developer_portfolio,5,100.0,6.0,1
project_syncfusion_dashboard,6,75.0,4.5,2
project_web3.0,3,100.0,5.5,2
pulsar,1331,93.5,11.1,100
QQFlacMusicDownloader,1092,73.5,4.8,6
quasar,1079,95.3,8.4,100
quicklink,17,94.4,10.1,35
react-beautiful-dnd,5,100.0,9.4,100
