30-Days-Of-React,25,43.1,6.3,8
500lines,1042,56.8,12.1,56
a1111-sd-webui-tagcomplete,8,57.1,5.5,20
absurd-sql,54,50.5,11.5,4
Administrative-divisions-of-China,17,81.0,8.6,7
adrenaline,17,63.0,4.9,7
aframe,4064,57.9,10.5,100
AgentVerse,2119,64.4,5.2,10
AI-Expert-Roadmap,1,100.0,6.8,9
algorithm-visualizer,17,56.7,8.5,24
aliyundriveDailyCheck,6,75.0,7.0,5
amazeui,898,53.1,10.2,24
amphtml,4538,52.6,10.0,100
anime,646,59.0,10.3,43
AnotherRedisDesktopManager,10,66.7,7.0
27,undefined
anything-llm,28,71.8,10.3,15
aos,20,66.7,9.7,18
apexcharts.js,1115,41.8,7.9
100,undefined
atrilabs-engine,3210,68.3,3.8,18
audiobookshelf,1175,53.9,7.7,80
Auto-GPT,1406,24.9,7.5,100
automerge-classic,134,61.8,11.3,60
AutoPiano,173,37.8,9.0,1
ava,35,67.3,10.7,100
Awesome-Design-Tools,42,84.0,8.7
100,undefined
awesome-vscode,1,100.0,9.5,100
axios,500,58.3,9.8,100
backend-GPT,16,80.0,4.5,4
beautiful-react-hooks,40,78.4,8.2,48
BioDrop,59,47.2,3.2,100
BITB,33,100.0,4.5,2
bluebird,1362,62.5,12,100
BoostNote-Legacy,314,71.5,8.9,100
BrasilAPI,68,55.3,7.0,64
brave-browser,4,57.1,8.2,86
browser-fingerprinting,26,34.2,8.3,3
browser-sync,895,58.7,11.4,88
bud,8,40.0,7.6,15
bypass-paywalls-chrome,13,59.1,9.3,51
carbon,98,47.8,8.8,100
carlo,16,41.0,10.2
20,undefined
chalk,5,83.3,11,56
chart.xkcd,6,75.0,8.4,15
charts,103,57.5,8.1,48
ChatALL,3,75.0,7.1,27
chatgpt-chrome-extension,2,100.0,6.7,6
chatGPTBox,6,85.7,6.2,20
chinese-independent-blogs,2,100.0,6.2,100
chinese-poetry,13,54.2,7.5,54
chinese-programmer-wrong-pronunciation,27,75.0,8.7,83
ChineseBQB,456,35.8,5.8,22
ChromeAppHeroes,10229,27.9,8.7
3,undefined
Cider,3707,50.3,5.3,96
city-roads,52,72.2,13.0,1
Clash-for-Windows_Chinese,4,8.0,2.0,1
Clash_Chinese_Patch,159,57.2,5.3,3
classnames,12,46.2,10.8,41
cleave.js,4134,13.8,10.0,67
clipboard.js,45,46.4,10.8,53
cnn-explainer,70,84.3,8.0,5
core-js,827,43.1,10,100
covid19india-react,19,51.4,8.1,100
create-react-app,121,68.8,11.0,100
CyberChef,8,47.1,9.1,100
cypress,935,62.4,9.3,100
d2-admin,1936,48.6,8.2,18
dayjs,83,42.6,9.0,100
decap-cms,222,54.8,9.5,100
DeepLearning-500-questions,121,51.3,7.2,100
dev-sidecar,130,72.6,7.7,3
diffusionbee-stable-diffusion-ui,22,59.5,8.9,17
docsify,71,57.7,8.9,100
docs,242,68.6,7.5,100
dotenv,8,42.1,10,71
downshift,48,78.7,10.0,100
draft-js,45,62.5,11.3,100
draggable,62,64.6,9.3,43
dragula,165,49.3,11.0,32
drawio-desktop,2,100.0,9.7,12
drawio,31229,50.7,9.7,31
drei,571,45.9,8.5,100
duelyst,4754,65.3,7.2,10
dva,34,50.0,9.3,87
easydiffusion,274,33.0,7.8,40
EasySpider,2730,60.9,6.8,5
ecommerce_sanity_stripe,1606,17.2,6.0,1
edex-ui,651,68.0,7.2,58
egg,60,18.5,9.8,100
eleventy,109,60.9,10.3,81
EmbedAI,1,100.0,8.0,9
emotion,57,52.3,10.1,100
enzyme,56,62.9,10.4,100
eruda,52,54.7,8.8,16
es6tutorial,123,29.7,8.1,100
ethereumbook,5,18.5,8.8,100
evergreen,304,42.1,8.9,100
evil-huawei,0,0.0,6.2,10
Fakeflix,34,58.6,5.0,2
fastify,286,51.7,9.5,100
feather,7,70.0,8.2,42
