js-cookie,8,88.9,10.3,53
json-server,38,95.0,10.7,70
kit,451,92.8,8.3,100
koa,24,92.3,11,100
kodluyoruz-frontend-101-egitimi,1673,84.3,3.7,3
konsta,155,92.3,8.2,13
koodo-reader,4250,84.6,5.8,10
lax.js,78,87.6,8.9
14,undefined
layui,1144,87.9,7.2,44
lazysizes,430,88.3,12.1,45
leetcode-patterns,13,100.0,6.1
25,undefined
leetcode,21,77.8,6.7,76
lenis,265,94.0,6.8,18
leonsans,130,89.7,8.5,2
lexical,413,78.2,7.8,100
lifeRestart,13576,87.3,6.7,31
lighthouse-ci,70,75.3,9.7,100
lighthouse,4980,87.7,10.2,100
lingo3d,8487,73.0,4.0,5
live,1313,86.2,5.5,2
localForage,927,92.1,11.3,95
lossless-cut,104,72.7,6.9,94
lottie-web,15135,88.6,9.2,84
luban-h5,36,81.8,6.8,11
Luckysheet,1533,74.1,6.3,74
macintosh.js,384,11.4,9.4,14
MagicMirror,160,89.4,9.0,100
magnetW,70,90.9,7.0,3
markdown-it,529,82.9,10.9,73
marko,1077,84.6,9.9,100
marktext,1069,88.4,8.5,100
materialize,1204,95.0,10.3,100
material,2014,88.8,10.8,100
matter-js,1723,92.0,11.1,24
mdx-deck,54,91.5,10.2
61,undefined
mdx,51,79.7,9.9,100
mermaid,494,92.7,8.5,100
metrics,1,100.0,6.5,55
microdiff,1,100.0,5.6,7
minter-dapp,3421,88.6,5.0,2
mithril.js,459,90.7,11.1,100
monaco-editor,63,86.3,9.3,100
mostly-adequate-guide,111,91.0,10.4,100
motionity,921,85.2,9.3,3
Motrix,65,81.2,6.7
67,undefined
mpvue,5314,85.5,10.4,100
nanoid,17,94.4,9.6,100
ncc,100,71.9,9.8
56,undefined
ndb,35,89.7,10.7
11,undefined
NeteaseCloudMusicApi,411,87.8,6.9,84
next.js,1362,91.7,9.6,100
nginx-proxy-manager,81,89.0,8.6,100
nginxconfig.io,13,81.2,7.8,48
nightmare,349,86.6,11.4,100
node-elm,1377,88.6,6.5,4
node-express-boilerplate,34,89.5,6.9,17
node-express-course,4859,75.5,5.0,1
node-lessons,264,88.3,9.7,19
node,42589,78.2,10.9,100
normalizr,10,76.9,10.9,55
notion-zh_CN,18,81.8,8.0,2
NotionNext,275,89.6,5.6,40
nprogress,23,85.2,12,33
nylas-mail,1351,58.7,10.9,89
octotree,317,83.6,10.8,65
odoo,14931,84.4,8.1,100
omni,600,85.2,7.2,12
openai-quickstart-node,3,100.0,6.6,8
OpenAPI-Specification,3,100.0,11.4,100
OpenLens,1,100.0,10.3,11
openzeppelin-contracts,106,84.8,8.8,100
PairDrop,224,93.3,7.2,65
PapaParse,442,87.0,11.0,100
parcel,825,87.1,9.8,100
parse-server,477,88.7,10.3,100
particles.js,79,84.9,11.5,13
pell,47,97.9,9.6,5
pipedream,42729,86.5,7.8,100
pkg,314,90.0,9.5,67
plyr,76,90.5,9.7,100
popmotion,157,98.7,10.5,57
portfolio_website,9,81.8,5.0,2
pose-animator,36,81.8,NaN,0
postcat,133,63.0,6.0,10
preact,770,90.4,10.5,100
preguntas-entrevista-react,7,100.0,5.2,38
preline,406,93.8,6.7,9
prettier-plugin-tailwindcss,1,100.0,9.5,22
prettier,646,82.1,10.8,100
project_3D_developer_portfolio,5,100.0,6.0,1
project_syncfusion_dashboard,8,100.0,4.5,2
project_web3.0,3,100.0,5.5,2
pulsar,1261,88.6,11.1,100
QQFlacMusicDownloader,1218,82.0,4.8,6
quasar,955,84.4,8.4,100
quicklink,13,72.2,10.1
35,undefined
react-beautiful-dnd,5,100.0,9.4,100
react-boilerplate,113,86.9,10.6,100
react-developer-roadmap,1,100.0,8.0,15
react-grid-layout,3,100.0,9.6,100
react-helmet,4,100.0,10.8,58
react-loadable,12,100.0,10.1,85
react-motion,21,100.0,11.6,68
react-native-web,230,94.7,10.3,100
react-testing-library,43,97.7,9.8,100
react-virtualized,152,87.9,10.8,100
react-window,78,94.0,10.5,31
reactjs-interview-questions,5,71.4,7.1,91
react,3,100.0,8.4,100
readme-md-generator,26,68.4,8.6,24
readme.so,30,100.0,5.8,55
RealChar,102,95.3,6.3,34
Recoil,7,87.5,9.5,99
redux-saga,626,81.6,10.7,100
ReLaXed,21,65.6,10.4,16
remote-jobs,4,100.0,7.2,100
responsively-app,159,88.3,6.6,78
return-youtube-dislike,14,93.3,5.4,100
revanced-builder,47,79.7,5.1,36
rollup,3225,75.8,10.5,100
RSSHub,4118,96.8,7.1,100
scalene,24,82.8,8.2,40
Script,130,82.3,5.5,26
scrollreveal,162,96.4,10.5,10
semantic-release,24,92.3,9.8,100
serverless,457,84.9,10.7,100
shadowrocket-rules,3,50.0,10.0,2
sharp,686,83.3,10,100
shepherd,88,90.7,10.0,94
slash,3,60.0,4.9,60
slick,166,93.3,11.3,100
snapdrop,21,91.3,7.4,42
snowpack,451,91.9,10.2
100,undefined
social-analyzer,33,86.8,6.2,17
Sortable,829,92.6,10.8,100
spicetify-cli,42,84.0,6.4
83,undefined
spug,244,93.5,6.3,8
stitches,119,79.9,9.7,49
strapi,1678,89.5,8.3,100
style2paints,14316,90.1,9.3,8
superagent,126153,74.0,7.1,21
svelte,841,93.7,9.8,100
SysMocap,536,88.0,9.0,1
tailblocks,176,89.3,6.1,7
techxuexi-js,38,82.6,4.2,9
terminalizer,53,89.8,9.3
8,undefined
tesseract.js,33,84.6,9.3,73
the-super-tiny-compiler,8,88.9,10.4,5
tips,3,100.0,10.0,68
ToolJet,375,87.0,6.0,100
trilium,10098,89.1,8.5,92
trix,152,91.6,12,53
tsdx,8,88.9,10.0
85,undefined
turbo,21,87.5,11.2,92
TwitchAdSolutions,9,81.8,7.5,6
uBlock,2317,86.9,10.1,100
uFuzzy,1323,87.7,9.3,3
umami,201,93.9,8.0,100
UnblockNeteaseMusic,110,93.2,7.8,9
uni-app,27586,87.0,6.4
100,undefined
unlighthouse,3,100.0,7.5,13
uPlot,106,67.9,10.0,38
uppy,254,89.8,10.0,100
uptime-kuma,153,86.9,7.1,100
vanillawebprojects,77,97.5,7.3,19
vant-weapp,204,93.6,7.3,100
van,251,98.0,6.5,10
velocity,939,85.4,11.5,44
vivus,114,87.0,10.6,22
Voyager,206,91.6,8.3,12
vue-admin-template,20,80.0,8.1,11
vue-cli,615,83.2,9.3,100
vue-router,995,91.7,10.0,100
Vue.Draggable,410,94.3,10.3,29
vuepress,159,79.9,9.3,100
vuex,136,93.8,10.0,100
WantWords,21,37.5,6.5,2
WatermelonDB,123,94.6,8.7
100,undefined
Web-Dev-For-Beginners,189,94.5,6.0,100
web-vitals,18,94.7,10.7,23
WebFundamentals,3148,59.4,11.3,100
WebGL-Fluid-Simulation,117,88.6,7.0,1
WebGPT,21,84.0,8.3,7
webpack-dashboard,36,92.3,10.2,49
webtorrent,50,87.7,9.9,100
wechat-app-mall,963,71.5,8.5,24
wechat-bot,0,0.0,5.7,10
WeChatVideoDownloader,7,100.0,8.0,1
wekan,3519,82.1,8.8,100
wepy,805,84.2,8.8,100
whatsapp-web.js,428,88.6,6.6
84,undefined
why-did-you-render,139,91.4,8.7
27,undefined
wifi-card,2,100.0,8.0,44
win11React,21,75.0,3.4,39
win12,145,81.5,2.8,16
winbox,121,90.3,8.3,7
windmill,32,100.0,8.5,46
wouter,47,94.0,9.3,33
x-spreadsheet,1283,74.0,8.3
28,undefined
x-ui,5713,83.3,5.8,5
yapi,29579,90.4,8.1,76
yarn,213,91.0,11.7,100
You-Dont-Need-jQuery,1,100.0,10.1,82
You-Dont-Need-Lodash-Underscore,29,96.7,10.1,100
You-Dont-Need-Momentjs,7,100.0,10.3
37,undefined
zdog,510,93.1,10.2
5,undefined
ZeroNet,4448,90.1,9.3,100
zx,1,33.3,9.4,43
