NAMING STYLE,1092,73.5
GRAMMATICAL STRUCTURE,1227,82.6
VERB PHRASE,288,19.4
DICTIONARY TERMS,1218,82.0
FULL WORDS,1031,69.4
LENGTH,1475,99.3
ABBREVIATIONS,77,59.7
ACRONYMS,3,2.3
