Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
truncate,1,True,True,True,True,False
lerp,1,False,False,True,True,False
damp,1,True,True,True,True,False
modulo,1,True,False,True,True,False
Card,1,True,False,True,False,False
onMouseEnter,3,True,True,True,True,False
onMouseLeave,3,True,True,True,True,False
onMouseEnter,3,True,True,True,True,False
onMouseLeave,3,True,True,True,True,False
Cursor,1,True,False,True,False,False
GridDebugger,2,True,False,True,False,False
onResize,2,True,False,True,True,False
HorizontalSlides,2,True,False,True,False,False
Intro,1,True,False,True,False,False
Title,1,True,False,True,False,False
LNS,1,False,False,True,False,False
EI,1,False,False,True,False,False
ClientOnly,2,True,False,True,False,False
ServerOnly,2,True,False,True,False,False
Marquee,1,True,False,True,False,False
onRouteChange,3,True,True,True,True,False
Navigation,1,True,False,True,False,False
changeRouteComplete,3,True,True,True,True,False
PageTransition,2,True,False,True,False,False
Parallax,1,True,False,True,False,False
onWindowResize,3,True,False,True,True,False
RealViewport,3,True,False,True,False,False
onPointerMove,3,True,True,True,True,False
onPointerUp,3,True,False,True,True,False
Scrollbar,1,True,False,True,False,False
Stats,1,True,False,True,False,False
Sticky,1,True,False,True,False,False
useScroll,2,True,True,True,True,False
pageview,2,True,False,True,False,False
clamp,1,True,True,True,True,False
mapRange,2,True,False,True,True,False
lerp,1,False,False,True,True,False
truncate,1,True,True,True,True,False
slugify,1,False,True,True,True,False
Document,1,True,False,True,False,False
c,1,True,False,False,True,False
r,1,True,False,False,True,False
define,1,True,True,True,True,False
e,1,True,False,False,True,False
n,1,True,False,False,True,False
c,1,True,False,False,True,False
h,1,True,False,False,True,False
f,1,True,False,False,True,False
d,1,True,False,False,True,False
g,1,True,False,False,True,False
n,1,True,False,False,True,False
v,1,True,False,False,True,False
b,1,True,False,False,True,False
q,1,True,False,False,True,False
O,1,True,False,False,False,False
n,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
T,1,True,False,False,False,False
n,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
k,1,True,False,False,True,False
B,1,True,False,False,False,False
i,1,True,False,False,True,False
j,1,True,False,False,True,False
K,1,True,False,False,False,False
H,1,True,False,False,False,False
G,1,True,False,False,False,False
handlerWillStart,3,True,True,True,True,False
cachedResponseWillBeUsed,5,True,True,True,True,False
cacheKeyWillBeUsed,5,True,True,True,True,False
Y,1,True,False,False,False,False
et,1,False,True,True,True,False
nt,1,False,False,True,True,False
cachedResponseWillBeUsed,5,True,True,True,True,False
cacheDidUpdate,3,True,True,True,True,False
cachedResponseWillBeUsed,5,True,True,True,True,False
cleanupOutdatedCaches,3,True,True,True,True,False
clientsClaim,2,True,True,True,True,False
precacheAndRoute,4,False,False,True,False,False
