NAMING STYLE,189,89.6
GRAMMATICAL STRUCTURE,136,64.5
VERB PHRASE,121,57.3
DICTIONARY TERMS,133,63.0
FULL WORDS,207,98.1
LENGTH,211,100.0
ABBREVIATIONS,12,27.3
ACRONYMS,2,4.5
