NAMING STYLE,84,100.0
GRAMMATICAL STRUCTURE,73,86.9
VERB PHRASE,45,53.6
DICTIONARY TERMS,76,90.5
FULL WORDS,84,100.0
LENGTH,84,100.0
ABBREVIATIONS,2,33.3
ACRONYMS,1,16.7
