NAMING STYLE,133,85.3
GRAMMATICAL STRUCTURE,93,59.6
VERB PHRASE,85,54.5
DICTIONARY TERMS,106,67.9
FULL WORDS,129,82.7
LENGTH,156,100.0
ABBREVIATIONS,13,39.4
ACRONYMS,0,0.0
