1,1780
2,7933
3,1824
4,2182
5,2121
6,2117
7,2681
8,2198
9,2007
10,2126
11,2139
12,1849
13,1909
14,1815
15,1797
16,1520
17,1634
18,1567
19,1294
20,1326
21,1341
22,1075
23,911
24,854
25,763
26,724
27,592
28,591
29,484
30,419
31,393
32,331
33,328
34,244
35,201
36,162
37,163
38,149
39,113
40,110
41,97
42,95
43,79
44,58
45,49
46,40
47,31
48,30
49,27
50,15
51,23
52,10
53,11
54,13
55,12
56,13
57,9
58,7
59,5
60,5
61,4
62,3
63,5
64,3
65,4
66,1
67,1
68,3
69,2
70,4
71,2
72,5
73,1
74,4
79,1
82,1
83,1
86,1
89,2
90,1
91,1
92,3
93,1
95,1
96,1
98,1
